unique id,university,year,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count
4992,Viet Nam National University Ho Chi Minh City (VNU-HCM),2021,801-1000,,https://www.topuniversities.com/universities/viet-nam-national-university-ho-chi-minh-city-vnu-hcm,Vietnam,Ho Chi Minh City,Asia,https://www.topuniversities.com/sites/default/files/vietnam-national-university-ho-chi-minh-city-vnu-hcm_592560cf2aeae70239af4d92_small.jpg,Public,High,17,523,XL,4552
4993,"Vietnam National University, Hanoi ",2021,801-1000,,https://www.topuniversities.com/universities/vietnam-national-university-hanoi,Vietnam,Hanoi,Asia,https://www.topuniversities.com/sites/default/files/vietnam-national-university-hanoi-_592560cf2aeae70239af523a_small.jpg,Public,High,14,545,XL,2919
4994,Vytautas Magnus University,2021,801-1000,,https://www.topuniversities.com/universities/vytautas-magnus-university,Lithuania,Kaunas,Europe,https://www.topuniversities.com/sites/default/files/vytautas-magnus-university_592560cf2aeae70239af5032_small.jpg,Public,Very High,11,994,M,686
4995,Wroclaw University of Science and Technology (WRUST),2021,801-1000,,https://www.topuniversities.com/universities/wroclaw-university-science-technology-wrust,Poland,Wroclaw ,Europe,https://www.topuniversities.com/sites/default/files/wroclaw-university-of-technology_592560cf2aeae70239af5039_small.jpg,Public,Very High,11,1159,L,2081
4996,Wuhan University of Technology,2021,801-1000,,https://www.topuniversities.com/universities/wuhan-university-technology,China (Mainland),Wuhan,Asia,https://www.topuniversities.com/sites/default/files/wuhan-university-of-technology_890_small.jpg,Public,Very High,15,1477,XL,3539
4997,Xi'an Jiaotong Liverpool University,2021,801-1000,,https://www.topuniversities.com/universities/xian-jiaotong-liverpool-university,China (Mainland),Suzhou,Asia,https://www.topuniversities.com/sites/default/files/xian-jiaotong-liverpool-university_592560cf2aeae70239af581d_small.jpg,Private,High,17,973,L,736
4998,Yamaguchi University ,2021,801-1000,,https://www.topuniversities.com/universities/yamaguchi-university,Japan,Yamaguchi City,Asia,https://www.topuniversities.com/sites/default/files/yamaguchi-university-_592560cf2aeae70239af4e8c_small.jpg,Public,High,9,350,M,1113
4999,Yeungnam University ,2021,801-1000,,https://www.topuniversities.com/universities/yeungnam-university,South Korea,Gyeongsan,Asia,https://www.topuniversities.com/sites/default/files/yeungnam-university-_592560cf2aeae70239af4ee0_small.jpg,Private,High,14,1661,L,1478
5000,Yokohama National University,2021,801-1000,,https://www.topuniversities.com/universities/yokohama-national-university,Japan,Yokohama City,Asia,https://www.topuniversities.com/sites/default/files/yokohama-national-university_592560cf2aeae70239af4d33_small.jpg,Public,Very High,13,839,M,760
5001,Al-Azhar University,2021,1001,,https://www.topuniversities.com/universities/al-azhar-university,Egypt,Cairo,Africa,https://www.topuniversities.com/sites/default/files/al-azhar-university-_592560cf2aeae70239af4f37_small.jpg,Public,High,16,20664,XL,18933
